name	red	green	blue
IndianRed	205	92	92
Salmon	250	128	114
Crimson	220	20	60
Pink	255	192	203
HotPink	255	105	180
Coral	255	127	80
Orange	255	165	0
Gold	255	215	0
Yellow	255	255	0
Lavender	230	230	250
Plum	221	160	221
Violet	238	130	238
Orchid	218	112	214
Fuchsia	255	0	255
Magenta	255	0	255
MediumPurple	147	112	219
Purple	128	0	128
Indigo	75	0	130
Chartreuse	127	255	0
Lime	0	255	0
Green	0	128	0
DarkGreen	0	100	0
Aqua	0	255	255
Cyan	0	255	255
Aquamarine	127	255	212
Turquoise	64	224	208
DeepSkyBlue	0	191	255
Blue	0	0	255
Tan	210	180	140
Chocolate	210	105	30
HoneyDew	240	255	240
MintCream	245	255	250
Azure	240	255	255
Ivory	255	255	240
LavenderBlush	255	240	245
MistyRose	255	228	225
